x,result
-4.0,-8.416190729591657
-3.999,-8.35573229056228
-3.998,-8.295806558445914
-3.9970000000000003,-8.236408084023694
-3.9960000000000004,-8.177531480764733
-3.9950000000000006,-8.119171424024202
-3.9940000000000007,-8.061322650253018
-3.9930000000000008,-8.003979956218277
-3.992000000000001,-7.947138198234969
-3.991000000000001,-7.890792291408333
-3.990000000000001,-7.834937208886831
-3.989000000000001,-7.77956798112572
-3.9880000000000013,-7.724679695160643
-3.9870000000000014,-7.670267493891735
-3.9860000000000015,-7.616326575377433
-3.9850000000000017,-7.562852192138204
-3.9840000000000018,-7.509839650469981
-3.983000000000002,-7.457284309767194
-3.982000000000002,-7.405181581855074
-3.981000000000002,-7.353526930331268
-3.980000000000002,-7.3023158699166215
-3.9790000000000023,-7.251543965814746
-3.9780000000000024,-7.20120683308077
-3.9770000000000025,-7.151300135998389
-3.9760000000000026,-7.101819587465693
-3.9750000000000028,-7.052760948389595
-3.974000000000003,-7.0041200270883
-3.973000000000003,-6.955892678701995
-3.972000000000003,-6.908074804611856
-3.971000000000003,-6.860662351866699
-3.9700000000000033,-6.813651312617672
-3.9690000000000034,-6.767037723560573
-3.9680000000000035,-6.72081766538582
-3.9670000000000036,-6.674987262235782
-3.9660000000000037,-6.629542681169578
-3.965000000000004,-6.584480131635217
-3.964000000000004,-6.539795864948761
-3.963000000000004,-6.495486173780561
-3.962000000000004,-6.451547391648394
-3.9610000000000043,-6.407975892417714
-3.9600000000000044,-6.364768089808226
-3.9590000000000045,-6.321920436907449
-3.9580000000000046,-6.279429425690631
-3.9570000000000047,-6.237291586547202
-3.956000000000005,-6.195503487813498
-3.955000000000005,-6.154061735311884
-3.954000000000005,-6.11296297189592
-3.953000000000005,-6.072203877001591
-3.9520000000000053,-6.031781166204671
-3.9510000000000054,-5.991691590783845
-3.9500000000000055,-5.95193193728974
-3.9490000000000056,-5.912499027119576
-3.9480000000000057,-5.873389716097653
-3.947000000000006,-5.834600894061128
-3.946000000000006,-5.796129484451652
-3.945000000000006,-5.757972443911997
-3.944000000000006,-5.720126761888346
-3.9430000000000063,-5.682589460237601
